GridBox_ID,Latitude,Longitude,Value
16292,-90,-178,
16293,-90,-176,
16294,-90,-174,
16295,-90,-172,
16296,-90,-170,
16297,-90,-168,
16298,-90,-166,
16299,-90,-164,
16300,-90,-162,
16301,-90,-160,
16302,-90,-158,
16303,-90,-156,
16304,-90,-154,
16305,-90,-152,
16306,-90,-150,
16307,-90,-148,
16308,-90,-146,
16309,-90,-144,
16310,-90,-142,
16311,-90,-140,
16312,-90,-138,
16313,-90,-136,
16314,-90,-134,
16315,-90,-132,
16316,-90,-130,
16317,-90,-128,
16318,-90,-126,
16319,-90,-124,
16320,-90,-122,
16321,-90,-120,
16322,-90,-118,
16323,-90,-116,
16324,-90,-114,
16325,-90,-112,
16326,-90,-110,
16327,-90,-108,
16328,-90,-106,
16329,-90,-104,
16330,-90,-102,
16331,-90,-100,
16332,-90,-98,
16333,-90,-96,
16334,-90,-94,
16335,-90,-92,
16336,-90,-90,
16337,-90,-88,
16338,-90,-86,
16339,-90,-84,
16340,-90,-82,
16341,-90,-80,
16342,-90,-78,
16343,-90,-76,
16344,-90,-74,
16345,-90,-72,
16346,-90,-70,
16347,-90,-68,
16348,-90,-66,
16349,-90,-64,
16350,-90,-62,
16351,-90,-60,
16352,-90,-58,
16353,-90,-56,
16354,-90,-54,
16355,-90,-52,
16356,-90,-50,
16357,-90,-48,
16358,-90,-46,
16359,-90,-44,
16360,-90,-42,
16361,-90,-40,
16362,-90,-38,
16363,-90,-36,
16364,-90,-34,
16365,-90,-32,
16366,-90,-30,
16367,-90,-28,
16368,-90,-26,
16369,-90,-24,
16370,-90,-22,
16371,-90,-20,
16372,-90,-18,
16373,-90,-16,
16374,-90,-14,
16375,-90,-12,
16376,-90,-10,
16377,-90,-8,
16378,-90,-6,
16379,-90,-4,
16380,-90,-2,
16201,-90,0,
16202,-90,2,
16203,-90,4,
16204,-90,6,
16205,-90,8,
16206,-90,10,
16207,-90,12,
16208,-90,14,
16209,-90,16,
16210,-90,18,
16211,-90,20,
16212,-90,22,
16213,-90,24,
16214,-90,26,
16215,-90,28,
16216,-90,30,
16217,-90,32,
16218,-90,34,
16219,-90,36,
16220,-90,38,
16221,-90,40,
16222,-90,42,
16223,-90,44,
16224,-90,46,
16225,-90,48,
16226,-90,50,
16227,-90,52,
16228,-90,54,
16229,-90,56,
16230,-90,58,
16231,-90,60,
16232,-90,62,
16233,-90,64,
16234,-90,66,
16235,-90,68,
16236,-90,70,
16237,-90,72,
16238,-90,74,
16239,-90,76,
16240,-90,78,
16241,-90,80,
16242,-90,82,
16243,-90,84,
16244,-90,86,
16245,-90,88,
16246,-90,90,
16247,-90,92,
16248,-90,94,
16249,-90,96,
16250,-90,98,
16251,-90,100,
16252,-90,102,
16253,-90,104,
16254,-90,106,
16255,-90,108,
16256,-90,110,
16257,-90,112,
16258,-90,114,
16259,-90,116,
16260,-90,118,
16261,-90,120,
16262,-90,122,
16263,-90,124,
16264,-90,126,
16265,-90,128,
16266,-90,130,
16267,-90,132,
16268,-90,134,
16269,-90,136,
16270,-90,138,
16271,-90,140,
16272,-90,142,
16273,-90,144,
16274,-90,146,
16275,-90,148,
16276,-90,150,
16277,-90,152,
16278,-90,154,
16279,-90,156,
16280,-90,158,
16281,-90,160,
16282,-90,162,
16283,-90,164,
16284,-90,166,
16285,-90,168,
16286,-90,170,
16287,-90,172,
16288,-90,174,
16289,-90,176,
16290,-90,178,
16291,-90,180,
16112,-88,-178,
16113,-88,-176,
16114,-88,-174,
16115,-88,-172,
16116,-88,-170,
16117,-88,-168,
16118,-88,-166,
16119,-88,-164,
16120,-88,-162,
16121,-88,-160,
16122,-88,-158,
16123,-88,-156,
16124,-88,-154,
16125,-88,-152,
16126,-88,-150,
16127,-88,-148,
16128,-88,-146,
16129,-88,-144,
16130,-88,-142,
16131,-88,-140,
16132,-88,-138,
16133,-88,-136,
16134,-88,-134,
16135,-88,-132,
16136,-88,-130,
16137,-88,-128,
16138,-88,-126,
16139,-88,-124,
16140,-88,-122,
16141,-88,-120,
16142,-88,-118,
16143,-88,-116,
16144,-88,-114,
16145,-88,-112,
16146,-88,-110,
16147,-88,-108,
16148,-88,-106,
16149,-88,-104,
16150,-88,-102,
16151,-88,-100,
16152,-88,-98,
16153,-88,-96,
16154,-88,-94,
16155,-88,-92,
16156,-88,-90,
16157,-88,-88,
16158,-88,-86,
16159,-88,-84,
16160,-88,-82,
16161,-88,-80,
16162,-88,-78,
16163,-88,-76,
16164,-88,-74,
16165,-88,-72,
16166,-88,-70,
16167,-88,-68,
16168,-88,-66,
16169,-88,-64,
16170,-88,-62,
16171,-88,-60,
16172,-88,-58,
16173,-88,-56,
16174,-88,-54,
16175,-88,-52,
16176,-88,-50,
16177,-88,-48,
16178,-88,-46,
16179,-88,-44,
16180,-88,-42,
16181,-88,-40,
16182,-88,-38,
16183,-88,-36,
16184,-88,-34,
16185,-88,-32,
16186,-88,-30,
16187,-88,-28,
16188,-88,-26,
16189,-88,-24,
16190,-88,-22,
16191,-88,-20,
16192,-88,-18,
16193,-88,-16,
16194,-88,-14,
16195,-88,-12,
16196,-88,-10,
16197,-88,-8,
16198,-88,-6,
16199,-88,-4,
16200,-88,-2,
16021,-88,0,
16022,-88,2,
16023,-88,4,
16024,-88,6,
16025,-88,8,
16026,-88,10,
16027,-88,12,
16028,-88,14,
16029,-88,16,
16030,-88,18,
16031,-88,20,
16032,-88,22,
16033,-88,24,
16034,-88,26,
16035,-88,28,
16036,-88,30,
16037,-88,32,
16038,-88,34,
16039,-88,36,
16040,-88,38,
16041,-88,40,
16042,-88,42,
16043,-88,44,
16044,-88,46,
16045,-88,48,
16046,-88,50,
16047,-88,52,
16048,-88,54,
16049,-88,56,
16050,-88,58,
16051,-88,60,
16052,-88,62,
16053,-88,64,
16054,-88,66,
16055,-88,68,
16056,-88,70,
16057,-88,72,
16058,-88,74,
16059,-88,76,
16060,-88,78,
16061,-88,80,
16062,-88,82,
16063,-88,84,
16064,-88,86,
16065,-88,88,
16066,-88,90,
16067,-88,92,
16068,-88,94,
16069,-88,96,
16070,-88,98,
16071,-88,100,
16072,-88,102,
16073,-88,104,
16074,-88,106,
16075,-88,108,
16076,-88,110,
16077,-88,112,
16078,-88,114,
16079,-88,116,
16080,-88,118,
16081,-88,120,
16082,-88,122,
16083,-88,124,
16084,-88,126,
16085,-88,128,
16086,-88,130,
16087,-88,132,
16088,-88,134,
16089,-88,136,
16090,-88,138,
16091,-88,140,
16092,-88,142,
16093,-88,144,
16094,-88,146,
16095,-88,148,
16096,-88,150,
16097,-88,152,
16098,-88,154,
16099,-88,156,
16100,-88,158,
16101,-88,160,
16102,-88,162,
16103,-88,164,
16104,-88,166,
16105,-88,168,
16106,-88,170,
16107,-88,172,
16108,-88,174,
16109,-88,176,
16110,-88,178,
16111,-88,180,
15932,-86,-178,
15933,-86,-176,
15934,-86,-174,
15935,-86,-172,
15936,-86,-170,
15937,-86,-168,
15938,-86,-166,
15939,-86,-164,
15940,-86,-162,
15941,-86,-160,
15942,-86,-158,
15943,-86,-156,
15944,-86,-154,
15945,-86,-152,
15946,-86,-150,
15947,-86,-148,
15948,-86,-146,
15949,-86,-144,
15950,-86,-142,
15951,-86,-140,
15952,-86,-138,
15953,-86,-136,
15954,-86,-134,
15955,-86,-132,
15956,-86,-130,
15957,-86,-128,
15958,-86,-126,
15959,-86,-124,
15960,-86,-122,
15961,-86,-120,
15962,-86,-118,
15963,-86,-116,
15964,-86,-114,
15965,-86,-112,
15966,-86,-110,
15967,-86,-108,
15968,-86,-106,
15969,-86,-104,
15970,-86,-102,
15971,-86,-100,
15972,-86,-98,
15973,-86,-96,
15974,-86,-94,
15975,-86,-92,
15976,-86,-90,
15977,-86,-88,
15978,-86,-86,
15979,-86,-84,
15980,-86,-82,
15981,-86,-80,
15982,-86,-78,
15983,-86,-76,
15984,-86,-74,
15985,-86,-72,
15986,-86,-70,
15987,-86,-68,
15988,-86,-66,
15989,-86,-64,
15990,-86,-62,
15991,-86,-60,
15992,-86,-58,
15993,-86,-56,
15994,-86,-54,
15995,-86,-52,
15996,-86,-50,
15997,-86,-48,
15998,-86,-46,
15999,-86,-44,
16000,-86,-42,
16001,-86,-40,
16002,-86,-38,
16003,-86,-36,
16004,-86,-34,
16005,-86,-32,
16006,-86,-30,
16007,-86,-28,
16008,-86,-26,
16009,-86,-24,
16010,-86,-22,
16011,-86,-20,
16012,-86,-18,
16013,-86,-16,
16014,-86,-14,
16015,-86,-12,
16016,-86,-10,
16017,-86,-8,
16018,-86,-6,
16019,-86,-4,
16020,-86,-2,
15841,-86,0,
15842,-86,2,
15843,-86,4,
15844,-86,6,
15845,-86,8,
15846,-86,10,
15847,-86,12,
15848,-86,14,
15849,-86,16,
15850,-86,18,
15851,-86,20,
15852,-86,22,
15853,-86,24,
15854,-86,26,
15855,-86,28,
15856,-86,30,
15857,-86,32,
15858,-86,34,
15859,-86,36,
15860,-86,38,
15861,-86,40,
15862,-86,42,
15863,-86,44,
15864,-86,46,
15865,-86,48,
15866,-86,50,
15867,-86,52,
15868,-86,54,
15869,-86,56,
15870,-86,58,
15871,-86,60,
15872,-86,62,
15873,-86,64,
15874,-86,66,
15875,-86,68,
15876,-86,70,
15877,-86,72,
15878,-86,74,
15879,-86,76,
15880,-86,78,
15881,-86,80,
15882,-86,82,
15883,-86,84,
15884,-86,86,
15885,-86,88,
15886,-86,90,
15887,-86,92,
15888,-86,94,
15889,-86,96,
15890,-86,98,
15891,-86,100,
15892,-86,102,
15893,-86,104,
15894,-86,106,
15895,-86,108,
15896,-86,110,
15897,-86,112,
15898,-86,114,
15899,-86,116,
15900,-86,118,
15901,-86,120,
15902,-86,122,
15903,-86,124,
15904,-86,126,
15905,-86,128,
15906,-86,130,
15907,-86,132,
15908,-86,134,
15909,-86,136,
15910,-86,138,
15911,-86,140,
15912,-86,142,
15913,-86,144,
15914,-86,146,
15915,-86,148,
15916,-86,150,
15917,-86,152,
15918,-86,154,
15919,-86,156,
15920,-86,158,
15921,-86,160,
15922,-86,162,
15923,-86,164,
15924,-86,166,
15925,-86,168,
15926,-86,170,
15927,-86,172,
15928,-86,174,
15929,-86,176,
15930,-86,178,
15931,-86,180,
15752,-84,-178,
15753,-84,-176,
15754,-84,-174,
15755,-84,-172,
15756,-84,-170,
15757,-84,-168,
15758,-84,-166,
15759,-84,-164,
15760,-84,-162,
15761,-84,-160,
15762,-84,-158,
15763,-84,-156,
15764,-84,-154,
15765,-84,-152,
15766,-84,-150,
15767,-84,-148,
15768,-84,-146,
15769,-84,-144,
15770,-84,-142,
15771,-84,-140,
15772,-84,-138,
15773,-84,-136,
15774,-84,-134,
15775,-84,-132,
15776,-84,-130,
15777,-84,-128,
15778,-84,-126,
15779,-84,-124,
15780,-84,-122,
15781,-84,-120,
15782,-84,-118,
15783,-84,-116,
15784,-84,-114,
15785,-84,-112,
15786,-84,-110,
15787,-84,-108,
15788,-84,-106,
15789,-84,-104,
15790,-84,-102,
15791,-84,-100,
15792,-84,-98,
15793,-84,-96,
15794,-84,-94,
15795,-84,-92,
15796,-84,-90,
15797,-84,-88,
15798,-84,-86,
15799,-84,-84,
15800,-84,-82,
15801,-84,-80,
15802,-84,-78,
